original_id,funny,user_id,review_id,text,business_id,stars,date,useful,type,cool,neighborhood,name
25188,0,MaxlLd0HZmCtdZ3yJ9pyJQ,hLEipT2IUwMUupoZ0fJ-Bw,"Yelp, you never steer me wrong!

The hubby and I went on a Tuesday night and we sat at the bar. We decided on AYCE and that is definitely the way to go. Price is standard at $26.95. 

We ordered side dishes first: grilled yellow tail collar, fried calamari, grilled pork belly and baked green mussels. Baked green mussels were good but not nearly as good as Sin City Sushi. We liked everything for the most part but the grilled pork belly is something special. The pork belly was juicy, flavorful and melted in my mouth.

We mostly stuck with nigiri and everything was fresh with not too much rice. The standouts for me were the super white tuna and snow crab meat. Our chef, Mike, suggested a variety of items to try and one of them was rice, raw quail egg and masago wrapped in seaweed. It was surprisingly yummy. 

The only roll we had lived up to it's name, Ecstacy Roll. I can't even remember what was in it but it was good! I like that you can do half orders.

What bumped this review up to 5 stars for me were the desserts. The hubby had the green tea creme brulee and I had the tempura ice cream. I wasn't too thrilled with the tempura because it was spongy and not at all crunchy. I did, however, eat most of the green tea creme brulee. It had a good consistency and right amount of sweetness. I still had a little bit of a sweet tooth so I ordered the lychee sorbet. It was so yummy and was a great way to cleanse the palette. 

A huge plus was the exceptional service. The sushi chefs were friendly and were gracious enough to suggest different things to try. Our glasses were always full and empty plates were cleared right away. 

I am now a believer of the type. I love that they have a frequent punch card. I expect to get that free 10th meal very soon!",JyxHvtj-syke7m9rbza7mA,5,5/25/2011,4,review,2,Sunrise,Buck's Tavern
702,0,avXKk5RYsDWeRgkHv1wfGQ,AqsASjTGA24Rc5echJuvtQ,"Fellow Yelper & co-worker Nadia C convinced me to give Aya & Peilas a try, and I'm glad I did.  I can now add it to my list of good Mexican food joints near where I work, bringing the total to five.

I've tried both the green & red chile burros, and both were great!  The sauce is very robust and just spicy enough for me (for some probably not spicy enough).  They've got a lot of other offers too, along with lunch specials, and even gringo food. 

It is a pretty small place, but you can takeout and the wait is very minimal.  

All in all, another great Mexican restaurant find for those who work near the Capitol or are okay with traveling a bit West on Van Buren.",1SlvPOQ39vZa9vyeOTiAUA,3,1/13/2010,2,review,2,Westside,Ray's Pizzeria and Restaurant
13050,0,evcXbcv4FKg3FjvW6kVZhw,6Xrronc_NRITCOZ9ZY7PRA,One star is kind.... Service is non existent.  Wanted to see how long it would take...45 minutes....not again.,XKEmksue_KTU6-L9VSwVvQ,1,9/28/2015,0,review,0,Eastside,Paradise Cantina
24190,0,kw4Q3Qfj_8WxjTNExSi1hw,u55LAOOufOpK1GJQv1CfOg,"This was probably one of my fave nightlife spots in my weekend visit in NC, and it was at my hotel!  Haha :P

I did like the view here a lot, as well as the nice fire outside!  Though it was a bit chilly, we took our drinks outside and hung out by the fire and had a great time.  I had the aviation drink which was pretty solid, as well as some fries later on to satisfy my late night munchies :P",gChmBjLSe3qa8rzEngoDLQ,4,12/20/2015,0,review,0,Centennial,Baja Fresh Mexican Grill
23327,0,a9UymHuKxZKMnHXOo3nLKA,o_irBFJZ_Hpk7y8Zsv8Rrw,"We came after a concert at T mobile arena and apparently after they were finished dancing:( Sad that we missed that, but still glad we came. 

This place likes spice, just about everything I ordered had a kick to it. 

Rok shrimp tempura- a must order!!! Spicy yet delicious!!!!

Hamachi Serrano- this was recommended by our waitress and she was spot on!!!

I'm definitely coming back here, and hopefully I'll catch the performance next time!!!",lmxA0dJM0XsPCIHPXhEQ-g,5,1/6/2017,4,review,4,Chinatown,Jack in the Box
2392,0,FdVjc191F1QK32jX0yKPiQ,pU1KqXC6ZGPIHPHwGIaqZw,"This place rocks, all the neighborhood charm you could want, GREAT food! The Sausage Canalloni should be on the regular menu! Really great specials, perfect pizza, Great Salads, delicious hot bread and herbed butter all at a great price. The staff is friendly and I love the bar are tables for a little more casual evening!",Fy4AmYaVjiDJBa0-PtJwSQ,5,3/24/2008,1,review,0,Chinatown,Fat Dumpling
10010,0,4It0891iFWA0P_lBLOAW1A,E3X9-rZ5bsOxknKJLBBCow,"Not impressed, Had spicy beef noodle and it was as flavorful as a can of beef noodle soup (generic)  and as spicy. The spring rolls were rubbery , just was disappointed but it was clean, nice place service was ok but somewhat complicated due to language but thats easily overlooked. My friend had the kobe beef as suggested by waitress and again nothing special.",NSmoI-d_rMZXp0UCM1vdog,2,1/30/2010,0,review,0,Eastside,China Kitchen LV
14948,4,Rzf35jKV8e8EJdssrae_AA,NHt9lVMoIsXdItj8ip4qWg,"If you are looking for a detailed review of the sushi here, I can't help you.  I am not a sushi eater.  You may tie me to the whipping post now.  My husband, however, LOVES sushi.  He would like nothing better than to live in Japan again.  And I will say he is very impressed with Dozo.

Since our relationship is not all about me, I allow him to take me to dinner here once for every 20 times I make him eat Mexican food.  And I admit, I always enjoy it too.  They have a great menu in addition to sushi.  I always have a combination which is tempura with your choice of entree.  Fantastic tempura every time.  I've tried the katsu chicken, terriyaki salmon, and plum chicken as well.  

Service is excellent.  The servers actually seem to appreciate your business and the sushi chef always thanks us as we are leaving even though we're not sitting at the sushi bar.  Relaxed, casual atmosphere.  No need to ho up to come here.  Very enjoyable.",scj1FBV05NVe0iQxplNNYw,4,9/13/2008,9,review,9,The Strip,Tom Colicchio's Heritage Steak
23757,1,O4bn6StRoYthQnBsdOl07Q,cXplK2Df09ZIUoG_AyQyng,"The best bbq in Las Vegas, we always come here everytime in Vegas. Their food always fresh and taste good.Try to come early so don't have to wait too long. Roast duck also good and not too much fat. All time favorite is the roast pork belly. Not much fan of their noodle or noodle soup.",aD0EslPREWGDlSpD0RMlEg,5,10/19/2015,0,review,0,Spring Valley,Kilroy's Restaurant & Bar
3125,0,SSc6gIRhvHF5tR8gqY_1HA,QIMlLNlSOzncwtgHUv9Bbg,"Typical dumpy yet fairly clean little sports bar in a strip mall setting. Get your tires changed next door at Discount Tire and grab a few heinekins while you wait. Beware though, they call it coppers because it is owned and frequented by Cops and for some reason there are a lot of people missing limbs that frequent the place.?. hum. ho.",N_1aKgseCRqjBRwIgNOjQw,3,9/2/2009,0,review,0,Spring Valley,The Noodle Man
